,Signal
2016-10-14 11:07:07.000,0.0
2016-10-14 11:07:07.250,0.0
2016-10-14 11:07:07.500,0.0
2016-10-14 11:07:07.750,0.0
2016-10-14 11:07:08.000,0.0
2016-10-14 11:07:08.250,0.0
2016-10-14 11:07:08.500,1.0
2016-10-14 11:07:08.750,1.0
2016-10-14 11:07:09.000,1.0
2016-10-14 11:07:09.250,1.0
2016-10-14 11:07:09.500,0.0
2016-10-14 11:07:09.750,0.0
2016-10-14 11:07:10.000,0.0
2016-10-14 11:07:10.250,1.0
2016-10-14 11:07:10.500,1.0
2016-10-14 11:07:10.750,1.0
2016-10-14 11:07:11.000,1.0
2016-10-14 11:07:11.250,1.0
2016-10-14 11:07:11.500,1.0
2016-10-14 11:07:11.750,1.0
2016-10-14 11:07:12.000,1.0
2016-10-14 11:07:12.250,1.0
2016-10-14 11:07:12.500,0.0
2016-10-14 11:07:12.750,0.0
2016-10-14 11:07:13.000,0.0
2016-10-14 11:07:13.250,0.0
2016-10-14 11:07:13.500,0.0
2016-10-14 11:07:13.750,0.0
2016-10-14 11:07:14.000,0.0
2016-10-14 11:07:14.250,0.0
2016-10-14 11:07:14.500,0.0
2016-10-14 11:07:14.750,0.0
2016-10-14 11:07:15.000,0.0
2016-10-14 11:07:15.250,0.0
2016-10-14 11:07:15.500,0.0
2016-10-14 11:07:15.750,0.0
2016-10-14 11:07:16.000,0.0
2016-10-14 11:07:16.250,0.0
2016-10-14 11:07:16.500,1.0
2016-10-14 11:07:16.750,1.0
2016-10-14 11:07:17.000,1.0
2016-10-14 11:07:17.250,0.0
2016-10-14 11:07:17.500,0.0
2016-10-14 11:07:17.750,0.0
2016-10-14 11:07:18.000,0.0
2016-10-14 11:07:18.250,0.0
2016-10-14 11:07:18.500,0.0
2016-10-14 11:07:18.750,0.0
2016-10-14 11:07:19.000,1.0
2016-10-14 11:07:19.250,1.0
2016-10-14 11:07:19.500,1.0
2016-10-14 11:07:19.750,1.0
2016-10-14 11:07:20.000,0.0
2016-10-14 11:07:20.250,0.0
2016-10-14 11:07:20.500,0.0
2016-10-14 11:07:20.750,0.0
2016-10-14 11:07:21.000,0.0
2016-10-14 11:07:21.250,0.0
2016-10-14 11:07:21.500,0.0
2016-10-14 11:07:21.750,0.0
2016-10-14 11:07:22.000,0.0
2016-10-14 11:07:22.250,0.0
2016-10-14 11:07:22.500,0.0
2016-10-14 11:07:22.750,0.0
2016-10-14 11:07:23.000,0.0
2016-10-14 11:07:23.250,0.0
2016-10-14 11:07:23.500,0.0
2016-10-14 11:07:23.750,0.0
2016-10-14 11:07:24.000,0.0
2016-10-14 11:07:24.250,0.0
2016-10-14 11:07:24.500,0.0
2016-10-14 11:07:24.750,0.0
2016-10-14 11:07:25.000,0.0
2016-10-14 11:07:25.250,0.0
2016-10-14 11:07:25.500,0.0
2016-10-14 11:07:25.750,0.0
2016-10-14 11:07:26.000,0.0
2016-10-14 11:07:26.250,0.0
2016-10-14 11:07:26.500,0.0
2016-10-14 11:07:26.750,0.0
2016-10-14 11:07:27.000,0.0
2016-10-14 11:07:27.250,0.0
2016-10-14 11:07:27.500,0.0
2016-10-14 11:07:27.750,1.0
2016-10-14 11:07:28.000,1.0
2016-10-14 11:07:28.250,1.0
2016-10-14 11:07:28.500,0.0
